ihbar,olay_turu,oncelik,birim,ilce,mahalle,lat,lon,ihbar_metni
Kadıköy Fikirtepe Mahallesi Sahil Yolu 4. Sokak yakınlarında metro istasyonunda teknik arıza nedeniyle yolcular mahsur kaldı.,Metro/Tünel Kazası,Kritik,Sağlık Ekipleri,Kadıköy,Fikirtepe,40.982987,29.012286,
Pendik Güzelyalı Mahallesi İstiklal Caddesi Lale Sokak yakınlarında bölgesinde ormanlık alanda büyük yangın var. Helikopter desteği gerekiyor.,Orman Yangını,Kritik,Orman Bölge Müdürlüğü,Pendik,Güzelyalı,40.868372,29.229891,
Kadıköy Caferağa Mahallesi Kennedy Caddesi 4. Sokak yakınlarında'de çalılık alanda yangın başladı. Rüzgar nedeniyle tehlike büyüyor.,Orman Yangını,Kritik,İtfaiye,Kadıköy,Caferağa,40.97665,29.013398,
"Bağcılar Demirkapı Mahallesi Vatan Caddesi Fatih Sokak yakınlarında'de şiddetli deprem hissedildi, binalarda hasar var. İlgili ekipler acilen yönlendirilsin.",Deprem,Kritik,Sağlık Ekipleri,Bağcılar,Demirkapı,41.036745,28.856877,
Ataşehir Atatürk Mahallesi Kartal Caddesi Yıldız Sokak yakınlarında'de apartmanda yangın çıktı. Üst katlarda mahsur kalanlar var.,Bina Yangını,Kritik,İGDAŞ,Ataşehir,Atatürk,40.9796,29.10605,
Beylikdüzü Yakuplu Mahallesi Halaskargazi Caddesi 1. Sokak yakınlarında mahallesinde su baskını nedeniyle elektrik kesintisi yaşanıyor.,Sel Baskını,Yüksek,İtfaiye,Beylikdüzü,Yakuplu,41.00273,28.631139,
Tuzla Aydıntepe Mahallesi Vatan Caddesi Yunus Emre Sokak yakınlarında'de trafik kazası sonrası yakıt sızıntısı var. Yangın riski mevcut.,Trafik Kazası,Yüksek,Trafik Ekipleri,Tuzla,Aydıntepe,40.834805,29.318454,
Çatalca Çiftlikköy Mahallesi Barbaros Bulvarı Yıldız Sokak yakınlarında'de iş yerinde yangın başladı. Dumandan etkilenenler var.,Bina Yangını,Yüksek,İGDAŞ,Çatalca,Çiftlikköy,41.126307,28.478272,
Gaziosmanpaşa Yıldıztabya Mahallesi Büyükdere Caddesi Mimar Sinan Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Kritik,Sağlık Ekipleri,Gaziosmanpaşa,Yıldıztabya,41.057952,28.903157,
Sultangazi Sultançiftliği Mahallesi Bağdat Caddesi Lale Sokak yakınlarında caddesinde kanalizasyon taştı. Vatandaşlar mağdur durumda.,Sel Baskını,Kritik,AFAD,Sultangazi,Sultançiftliği,41.109003,28.886653,
Büyükçekmece Tepecik Mahallesi Taksim Meydanı Karanfil Sokak yakınlarında'de otobüs kazası yaşandı. Ambulans ve itfaiye acil gerekli.,Trafik Kazası,Kritik,İtfaiye,Büyükçekmece,Tepecik,41.006537,28.602621,
Sarıyer Rumeli Feneri Mahallesi Cumhuriyet Caddesi Fatih Sokak yakınlarında bölgesinde deprem sonrası enkaz altında mahsur kalan vatandaşlar var. Acil müdahale gerekiyor.,Deprem,Kritik,İtfaiye,Sarıyer,Rumeli Feneri,41.146871,29.030383,
Tuzla Aydınlı Mahallesi İstiklal Caddesi Yunus Emre Sokak yakınlarında'de tünel girişinde göçük meydana geldi. Trafik durdu.,Metro/Tünel Kazası,Yüksek,Sağlık Ekipleri,Tuzla,Aydınlı,40.797938,29.313283,
Gaziosmanpaşa Karlıtepe Mahallesi Barbaros Bulvarı Yıldız Sokak yakınlarında'de metro tünelinde yangın çıktı. Tahliye başlatıldı.,Metro/Tünel Kazası,Kritik,İtfaiye,Gaziosmanpaşa,Karlıtepe,41.051691,28.911519,
Silivri Piri Mehmet Paşa Mahallesi Mecidiyeköy Yolu Menekşe Sokak yakınlarında'de deprem nedeniyle bina çökmesi meydana geldi. Kurtarma ekipleri talep ediliyor.,Deprem,Yüksek,Kurtarma Ekipleri,Silivri,Piri Mehmet Paşa,41.057199,28.251438,
Beykoz Çubuklu Mahallesi Atatürk Caddesi Karanfil Sokak yakınlarında'de tipi nedeniyle görüş mesafesi sıfıra düştü. Sürücüler uyarılmalı.,Kar Fırtınası,Kritik,Yol Bakım ve Altyapı,Beykoz,Çubuklu,41.133014,29.108162,
Bakırköy Kartaltepe Mahallesi Millet Caddesi Mimar Sinan Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Yüksek,İtfaiye,Bakırköy,Kartaltepe,40.98166,28.879271,
"Sarıyer Rumeli Feneri Mahallesi İstiklal Caddesi Lale Sokak yakınlarında bölgesinde dere taştı, evlere su girdi. Acil tahliye gerekiyor.",Sel Baskını,Orta,AFAD,Sarıyer,Rumeli Feneri,41.157085,29.052796,
Kadıköy Fikirtepe Mahallesi Millet Caddesi Yunus Emre Sokak yakınlarında mahallesinde yoğun kar nedeniyle çatılarda çökme riski var.,Kar Fırtınası,Yüksek,Ulaşım Daire Başkanlığı,Kadıköy,Fikirtepe,41.008024,29.007778,
"Başakşehir Güvercintepe Mahallesi Kadıköy Caddesi Karanfil Sokak yakınlarında civarında deprem sonrası hasar tespit edildi, çatlaklar oluşmuş durumda.",Deprem,Kritik,AFAD,Başakşehir,Güvercintepe,41.078769,28.801832,
Beyoğlu Karaköy Mahallesi Kadıköy Caddesi Yunus Emre Sokak yakınlarında bölgesinde buzlanma nedeniyle trafik kazaları yaşanıyor. Tuzlama ekibi isteniyor.,Kar Fırtınası,Yüksek,Ulaşım Daire Başkanlığı,Beyoğlu,Karaköy,41.034954,28.957206,
Esenyurt Saadetdere Mahallesi Kadıköy Caddesi Çiçek Sokak yakınlarında'de deprem nedeniyle bina çökmesi meydana geldi. Kurtarma ekipleri talep ediliyor.,Deprem,Kritik,AFAD,Esenyurt,Saadetdere,41.04998,28.671175,
"Çekmeköy Merkez Mahallesi Cumhuriyet Caddesi 2. Sokak yakınlarında civarında deprem sonrası hasar tespit edildi, çatlaklar oluşmuş durumda.",Deprem,Kritik,Sağlık Ekipleri,Çekmeköy,Merkez,41.04692,29.156586,
Esenler Menderes Mahallesi Vatan Caddesi Çiçek Sokak yakınlarında'de deprem nedeniyle yol çökmesi meydana geldi. Trafik akışı durdu.,Deprem,Kritik,İtfaiye,Esenler,Menderes,41.05463,28.880383,
Bakırköy Ataköy Mahallesi Atatürk Caddesi Güneş Sokak yakınlarında caddesinde aydınlatma direkleri devrildi. Tehlike arz ediyor.,Altyapı Arızası,Kritik,İGDAŞ,Bakırköy,Ataköy,40.976996,28.892803,
"Sancaktepe Abdurrahman Gazi Mahallesi Kennedy Caddesi 5. Sokak yakınlarında'de şiddetli sarsıntı hissedildi, panik yaşanıyor. Durum tespiti için ekip isteniyor.",Deprem,Kritik,İtfaiye,Sancaktepe,Abdurrahman Gazi,40.982632,29.240403,
Üsküdar Kuzguncuk Mahallesi Kadıköy Caddesi Orkide Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Kritik,AFAD,Üsküdar,Kuzguncuk,41.037983,29.026699,
Ümraniye Namık Kemal Mahallesi Bağdat Caddesi 2. Sokak yakınlarında'de apartmanda yangın çıktı. Üst katlarda mahsur kalanlar var.,Bina Yangını,Kritik,Sağlık Ekipleri,Ümraniye,Namık Kemal,41.022737,29.123731,
Bağcılar Barbaros Mahallesi Bağdat Caddesi Yıldız Sokak yakınlarında bölgesinde elektrik trafosu arızalandı. Geniş çaplı kesinti var.,Altyapı Arızası,Orta,İGDAŞ,Bağcılar,Barbaros,41.040207,28.839402,
Büyükçekmece Güzelce Mahallesi Kadıköy Caddesi Fatih Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Kritik,İGDAŞ,Büyükçekmece,Güzelce,41.025685,28.581085,
Sarıyer İstinye Mahallesi Kadıköy Caddesi Mimar Sinan Sokak yakınlarında'de deprem nedeniyle bina çökmesi meydana geldi. Kurtarma ekipleri talep ediliyor.,Deprem,Kritik,Kurtarma Ekipleri,Sarıyer,İstinye,41.18509,29.060175,
"Çekmeköy Hamidiye Mahallesi Sahil Yolu 1. Sokak yakınlarında'de şüpheli duman yükseliyor. Yangın riski mevcut, kontrol edilmeli.",Orman Yangını,Yüksek,İtfaiye,Çekmeköy,Hamidiye,41.028053,29.147023,
Beylikdüzü Dereağzı Mahallesi Atatürk Caddesi 5. Sokak yakınlarında mahallesinde deprem sonrası gaz kaçağı şüphesi var. Acil müdahale lazım.,Deprem,Orta,AFAD,Beylikdüzü,Dereağzı,40.993753,28.65236,
Bağcılar Mahmutbey Mahallesi Kartal Caddesi Atatürk Sokak yakınlarında'de trafik kazası sonrası yakıt sızıntısı var. Yangın riski mevcut.,Trafik Kazası,Yüksek,İtfaiye,Bağcılar,Mahmutbey,41.04039,28.849946,
Arnavutköy İmrahor Mahallesi Sahil Yolu Papatya Sokak yakınlarında'de ana su borusu patladı. Sokak su altında kaldı.,Altyapı Arızası,Yüksek,İSKİ,Arnavutköy,İmrahor,41.167494,28.748344,
"Esenyurt Kıraç Mahallesi Büyükdere Caddesi Orkide Sokak yakınlarında'de kar kalınlığı artıyor, toplu taşıma durdu. Karla mücadele ekibi gerekli.",Kar Fırtınası,Orta,AFAD,Esenyurt,Kıraç,41.03253,28.694034,
Sultangazi 75. Yıl Mahallesi Cumhuriyet Caddesi 3. Sokak yakınlarında'de tipi nedeniyle görüş mesafesi sıfıra düştü. Sürücüler uyarılmalı.,Kar Fırtınası,Kritik,AFAD,Sultangazi,75. Yıl,41.080396,28.861015,
Bağcılar Mahmutbey Mahallesi Mecidiyeköy Yolu Güneş Sokak yakınlarında'de iş yerinde yangın başladı. Dumandan etkilenenler var.,Bina Yangını,Kritik,Sağlık Ekipleri,Bağcılar,Mahmutbey,41.055412,28.844665,
Esenler Tuna Mahallesi Vatan Caddesi Papatya Sokak yakınlarında'de çalılık alanda yangın başladı. Rüzgar nedeniyle tehlike büyüyor.,Orman Yangını,Orta,İtfaiye,Esenler,Tuna,41.03144,28.862643,
Kağıthane Nurtepe Mahallesi Bağdat Caddesi 2. Sokak yakınlarında bölgesinde ormanlık alanda büyük yangın var. Helikopter desteği gerekiyor.,Orman Yangını,Kritik,Orman Bölge Müdürlüğü,Kağıthane,Nurtepe,41.100745,28.958903,
Adalar Sedefadası Mahallesi Kadıköy Caddesi Çiçek Sokak yakınlarında bölgesinde ormanlık alanda büyük yangın var. Helikopter desteği gerekiyor.,Orman Yangını,Yüksek,İtfaiye,Adalar,Sedefadası,40.86084,29.105909,
Kağıthane Nurtepe Mahallesi Mecidiyeköy Yolu 2. Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Orta,AFAD,Kağıthane,Nurtepe,41.087282,28.985779,
"Bağcılar Yıldıztepe Mahallesi Kennedy Caddesi Lale Sokak yakınlarında'de yol çöktü, altyapı hasarı mevcut. Tehlike oluşturdu.",Altyapı Arızası,Orta,Yol Bakım ve Altyapı,Bağcılar,Yıldıztepe,41.029507,28.83883,
"Şişli Teşvikiye Mahallesi Kartal Caddesi Çiçek Sokak yakınlarında civarında kar fırtınası sürüyor, elektrik direkleri devrildi.",Kar Fırtınası,Orta,AFAD,Şişli,Teşvikiye,41.046897,28.983225,
Adalar Kınalıada Mahallesi Barbaros Bulvarı 2. Sokak yakınlarında apartmanında gaz patlaması sonrası yangın çıktı. Acil müdahale şart.,Bina Yangını,Yüksek,Sağlık Ekipleri,Adalar,Kınalıada,40.884599,29.091619,
Silivri Ortaköy Mahallesi Beşiktaş Caddesi Güneş Sokak yakınlarında apartmanında gaz patlaması sonrası yangın çıktı. Acil müdahale şart.,Bina Yangını,Orta,Sağlık Ekipleri,Silivri,Ortaköy,41.061888,28.262695,
Arnavutköy İmrahor Mahallesi Beşiktaş Caddesi Papatya Sokak yakınlarında'de tipi nedeniyle görüş mesafesi sıfıra düştü. Sürücüler uyarılmalı.,Kar Fırtınası,Kritik,Yol Bakım ve Altyapı,Arnavutköy,İmrahor,41.20072,28.728264,
Sancaktepe Sarıgazi Mahallesi Mecidiyeköy Yolu Orkide Sokak yakınlarında'de heyelan sonrası araçlar toprak altında kaldı. Kurtarma ekibi şart.,Heyelan,Kritik,Yol Bakım ve Altyapı,Sancaktepe,Sarıgazi,41.003358,29.23191,
Ümraniye Kazım Karabekir Mahallesi Mecidiyeköy Yolu Fatih Sokak yakınlarında bölgesinde fabrikada büyük yangın var. Birden fazla itfaiye ekibi gerekli.,Bina Yangını,Kritik,Sağlık Ekipleri,Ümraniye,Kazım Karabekir,41.009381,29.111995,
Gaziosmanpaşa Bağlarbaşı Mahallesi Kennedy Caddesi Mimar Sinan Sokak yakınlarında'de aşırı yağmur sonrası sokaklar göle döndü. Araçlar mahsur kaldı.,Sel Baskını,Orta,İSKİ,Gaziosmanpaşa,Bağlarbaşı,41.067212,28.922446,
Fatih Karagümrük Mahallesi Atatürk Caddesi Yunus Emre Sokak yakınlarında'de aşırı yağmur sonrası sokaklar göle döndü. Araçlar mahsur kaldı.,Sel Baskını,Kritik,AFAD,Fatih,Karagümrük,41.006612,28.927566,
"Sarıyer Yeniköy Mahallesi Millet Caddesi Yıldız Sokak yakınlarında'de kar kalınlığı artıyor, toplu taşıma durdu. Karla mücadele ekibi gerekli.",Kar Fırtınası,Orta,AFAD,Sarıyer,Yeniköy,41.177503,29.041274,
Avcılar Tahtakale Mahallesi Halaskargazi Caddesi 4. Sokak yakınlarında'de metro tünelinde yangın çıktı. Tahliye başlatıldı.,Metro/Tünel Kazası,Kritik,AFAD,Avcılar,Tahtakale,40.968303,28.730333,
Esenler Tuna Mahallesi İstiklal Caddesi 2. Sokak yakınlarında sitesinde elektrik kontağından yangın çıktı. Tahliye ediliyor.,Bina Yangını,Kritik,Sağlık Ekipleri,Esenler,Tuna,41.057432,28.872752,
Kadıköy Suadiye Mahallesi Halaskargazi Caddesi Lale Sokak yakınlarında apartmanında gaz patlaması sonrası yangın çıktı. Acil müdahale şart.,Bina Yangını,Yüksek,Sağlık Ekipleri,Kadıköy,Suadiye,40.984923,29.037212,
Esenyurt Kıraç Mahallesi Kadıköy Caddesi 4. Sokak yakınlarında'de otobüs kazası yaşandı. Ambulans ve itfaiye acil gerekli.,Trafik Kazası,Kritik,Trafik Ekipleri,Esenyurt,Kıraç,41.043814,28.690921,
"Beşiktaş Etiler Mahallesi Halaskargazi Caddesi 2. Sokak yakınlarında'de kanalizasyon tıkandı, kötü koku yayılıyor. Acil temizlik gerekli.",Altyapı Arızası,Yüksek,Yol Bakım ve Altyapı,Beşiktaş,Etiler,41.045728,29.021366,
Bahçelievler Şirinevler Mahallesi İstiklal Caddesi Yunus Emre Sokak yakınlarında metro hattında elektrik kesintisi var. Vagonlar tünelde durdu.,Metro/Tünel Kazası,Kritik,AFAD,Bahçelievler,Şirinevler,40.997357,28.860391,
Şişli Nişantaşı Mahallesi Bağdat Caddesi Yunus Emre Sokak yakınlarında'de heyelan sonrası araçlar toprak altında kaldı. Kurtarma ekibi şart.,Heyelan,Kritik,AFAD,Şişli,Nişantaşı,41.047305,29.000759,
Fatih Saraçhane Mahallesi Kennedy Caddesi Menekşe Sokak yakınlarında'de yoğun kar yağışı nedeniyle yollar kapandı. Araçlar mahsur kaldı.,Kar Fırtınası,Yüksek,AFAD,Fatih,Saraçhane,41.007922,28.946083,
Avcılar Firuzköy Mahallesi Sahil Yolu 5. Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Yüksek,İtfaiye,Avcılar,Firuzköy,40.974844,28.740984,
Kağıthane Ortabayır Mahallesi Büyükdere Caddesi Lale Sokak yakınlarında mahallesinde su baskını nedeniyle elektrik kesintisi yaşanıyor.,Sel Baskını,Yüksek,İtfaiye,Kağıthane,Ortabayır,41.098118,28.95909,
Arnavutköy Taşoluk Mahallesi Büyükdere Caddesi Mimar Sinan Sokak yakınlarında bölgesinde elektrik trafosu arızalandı. Geniş çaplı kesinti var.,Altyapı Arızası,Kritik,İGDAŞ,Arnavutköy,Taşoluk,41.191971,28.731658,
Fatih Saraçhane Mahallesi Vatan Caddesi Mimar Sinan Sokak yakınlarında apartmanında gaz patlaması sonrası yangın çıktı. Acil müdahale şart.,Bina Yangını,Kritik,İGDAŞ,Fatih,Saraçhane,41.011756,28.942469,
Şişli Osmanbey Mahallesi Taksim Meydanı 3. Sokak yakınlarında'de deprem nedeniyle bina çökmesi meydana geldi. Kurtarma ekipleri talep ediliyor.,Deprem,Kritik,Kurtarma Ekipleri,Şişli,Osmanbey,41.068213,28.996166,
Beylikdüzü Barış Mahallesi Kadıköy Caddesi Atatürk Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Kritik,Metro İstanbul,Beylikdüzü,Barış,40.995387,28.639663,
Kartal Soğanlık Mahallesi Kennedy Caddesi Çiçek Sokak yakınlarında bölgesinde buzlanma nedeniyle trafik kazaları yaşanıyor. Tuzlama ekibi isteniyor.,Kar Fırtınası,Orta,AFAD,Kartal,Soğanlık,40.898222,29.194496,
Bakırköy Florya Mahallesi İstiklal Caddesi Gül Sokak yakınlarında apartmanında gaz kaçağı tespit edildi. Elektrik kesilmeli.,Gaz Kaçağı,Kritik,İtfaiye,Bakırköy,Florya,40.982076,28.88838,
"Şile Ağva Mahallesi Taksim Meydanı Yıldız Sokak yakınlarında civarında kar fırtınası sürüyor, elektrik direkleri devrildi.",Kar Fırtınası,Yüksek,AFAD,Şile,Ağva,41.158528,29.620579,
Bağcılar Güneşli Mahallesi Atatürk Caddesi Yıldız Sokak yakınlarında'de metro tünelinde yangın çıktı. Tahliye başlatıldı.,Metro/Tünel Kazası,Kritik,AFAD,Bağcılar,Güneşli,41.026424,28.865064,
Sultanbeyli Abdurrahman Gazi Mahallesi İstiklal Caddesi Yunus Emre Sokak yakınlarında apartmanında gaz patlaması sonrası yangın çıktı. Acil müdahale şart.,Bina Yangını,Kritik,Sağlık Ekipleri,Sultanbeyli,Abdurrahman Gazi,40.972981,29.275243,
Kartal Esentepe Mahallesi Cumhuriyet Caddesi Gül Sokak yakınlarında civarında orman yangını yerleşim yerlerine yaklaşıyor. Tahliye başlatılmalı.,Orman Yangını,Kritik,AFAD,Kartal,Esentepe,40.877389,29.170566,
Silivri Cumhuriyet Mahallesi Taksim Meydanı 3. Sokak yakınlarında mahallesinde deprem sonrası gaz kaçağı şüphesi var. Acil müdahale lazım.,Deprem,Kritik,İtfaiye,Silivri,Cumhuriyet,41.060718,28.255476,
"Adalar Burgazada Mahallesi Beşiktaş Caddesi 1. Sokak yakınlarında'de şiddetli deprem hissedildi, binalarda hasar var. İlgili ekipler acilen yönlendirilsin.",Deprem,Yüksek,Kurtarma Ekipleri,Adalar,Burgazada,40.873859,29.094528,
Eyüpsultan Defterdar Mahallesi Büyükdere Caddesi Çiçek Sokak yakınlarında'de yoğun kar yağışı nedeniyle yollar kapandı. Araçlar mahsur kaldı.,Kar Fırtınası,Yüksek,Yol Bakım ve Altyapı,Eyüpsultan,Defterdar,41.030642,28.914418,
Esenyurt Ardıçlı Mahallesi Barbaros Bulvarı Papatya Sokak yakınlarında'de aşırı yağmur sonrası sokaklar göle döndü. Araçlar mahsur kaldı.,Sel Baskını,Kritik,İtfaiye,Esenyurt,Ardıçlı,41.015061,28.6838,
"Bahçelievler Yenibosna Mahallesi Beşiktaş Caddesi 5. Sokak yakınlarında'de yol çöktü, altyapı hasarı mevcut. Tehlike oluşturdu.",Altyapı Arızası,Yüksek,İSKİ,Bahçelievler,Yenibosna,40.986732,28.849951,
Başakşehir Altınşehir Mahallesi Beşiktaş Caddesi Menekşe Sokak yakınlarında metro hattında elektrik kesintisi var. Vagonlar tünelde durdu.,Metro/Tünel Kazası,Yüksek,Sağlık Ekipleri,Başakşehir,Altınşehir,41.092251,28.783741,
"Fatih Sultanahmet Mahallesi Kadıköy Caddesi 1. Sokak yakınlarında'de şiddetli deprem hissedildi, binalarda hasar var. İlgili ekipler acilen yönlendirilsin.",Deprem,Yüksek,Kurtarma Ekipleri,Fatih,Sultanahmet,41.029302,28.939683,
Üsküdar Kuzguncuk Mahallesi Sahil Yolu 4. Sokak yakınlarında bölgesinde toprak kayması nedeniyle evler tehlike altında.,Heyelan,Kritik,Kurtarma Ekipleri,Üsküdar,Kuzguncuk,41.030516,29.034095,
Çekmeköy Alemdağ Mahallesi Sahil Yolu Yıldız Sokak yakınlarında köprüsünde çoklu araç kazası var. Trafik felç oldu.,Trafik Kazası,Yüksek,Sağlık Ekipleri,Çekmeköy,Alemdağ,41.037641,29.170101,
Avcılar Gümüşpala Mahallesi Cumhuriyet Caddesi Gül Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Yüksek,İGDAŞ,Avcılar,Gümüşpala,40.971554,28.730917,
Eyüpsultan İslambey Mahallesi Kennedy Caddesi Menekşe Sokak yakınlarında yakınlarında orman yangını çıktı. Alevler hızla yayılıyor.,Orman Yangını,Kritik,AFAD,Eyüpsultan,İslambey,41.036067,28.921475,
Sancaktepe Yenidoğan Mahallesi Sahil Yolu Lale Sokak yakınlarında'de ana su borusu patladı. Sokak su altında kaldı.,Altyapı Arızası,Yüksek,Yol Bakım ve Altyapı,Sancaktepe,Yenidoğan,40.991125,29.239044,
Kadıköy Koşuyolu Mahallesi Sahil Yolu 2. Sokak yakınlarında bölgesinde toprak kayması nedeniyle evler tehlike altında.,Heyelan,Yüksek,Kurtarma Ekipleri,Kadıköy,Koşuyolu,40.98239,29.029272,
Kağıthane Merkez Mahallesi Sahil Yolu Papatya Sokak yakınlarında mahallesinde yoğun kar nedeniyle çatılarda çökme riski var.,Kar Fırtınası,Kritik,Yol Bakım ve Altyapı,Kağıthane,Merkez,41.080994,28.946942,
Maltepe Bağlarbaşı Mahallesi Halaskargazi Caddesi Çiçek Sokak yakınlarında'de deprem nedeniyle yol çökmesi meydana geldi. Trafik akışı durdu.,Deprem,Orta,Kurtarma Ekipleri,Maltepe,Bağlarbaşı,40.921547,29.131554,
Şişli Fulya Mahallesi Taksim Meydanı 1. Sokak yakınlarında apartmanında gaz kaçağı tespit edildi. Elektrik kesilmeli.,Gaz Kaçağı,Kritik,İGDAŞ,Şişli,Fulya,41.046766,28.975601,
Çatalca Yalıköy Mahallesi Taksim Meydanı Menekşe Sokak yakınlarında'de heyelan meydana geldi. Yol tamamen kapandı.,Heyelan,Orta,Yol Bakım ve Altyapı,Çatalca,Yalıköy,41.134774,28.472652,
Kağıthane Gültepe Mahallesi Kartal Caddesi Atatürk Sokak yakınlarında'de tünel girişinde göçük meydana geldi. Trafik durdu.,Metro/Tünel Kazası,Yüksek,AFAD,Kağıthane,Gültepe,41.080208,28.971076,
Kağıthane Harmantepe Mahallesi İstiklal Caddesi 1. Sokak yakınlarında mahallesinde deprem sonrası gaz kaçağı şüphesi var. Acil müdahale lazım.,Deprem,Kritik,İtfaiye,Kağıthane,Harmantepe,41.087107,28.952812,
Arnavutköy İmrahor Mahallesi Kennedy Caddesi 4. Sokak yakınlarında'de iş yerinde yangın başladı. Dumandan etkilenenler var.,Bina Yangını,Kritik,Sağlık Ekipleri,Arnavutköy,İmrahor,41.185786,28.732534,
"Maltepe Bağlarbaşı Mahallesi Cumhuriyet Caddesi Yıldız Sokak yakınlarında'de kar kalınlığı artıyor, toplu taşıma durdu. Karla mücadele ekibi gerekli.",Kar Fırtınası,Yüksek,AFAD,Maltepe,Bağlarbaşı,40.949066,29.138815,
Eyüpsultan İslambey Mahallesi Kartal Caddesi 1. Sokak yakınlarında'de tünel girişinde göçük meydana geldi. Trafik durdu.,Metro/Tünel Kazası,Yüksek,Metro İstanbul,Eyüpsultan,İslambey,41.055642,28.936832,
Kartal Kordonboyu Mahallesi Kadıköy Caddesi Karanfil Sokak yakınlarında metro hattında elektrik kesintisi var. Vagonlar tünelde durdu.,Metro/Tünel Kazası,Kritik,AFAD,Kartal,Kordonboyu,40.901151,29.195663,
Beyoğlu Kasımpaşa Mahallesi Beşiktaş Caddesi 5. Sokak yakınlarında'de zincirleme trafik kazası meydana geldi. Çok sayıda yaralı var.,Trafik Kazası,Orta,İtfaiye,Beyoğlu,Kasımpaşa,41.046427,28.966694,
Maltepe Cevizli Mahallesi Taksim Meydanı Lale Sokak yakınlarında mahallesinde deprem sonrası gaz kaçağı şüphesi var. Acil müdahale lazım.,Deprem,Yüksek,AFAD,Maltepe,Cevizli,40.924772,29.133686,
Şişli Halaskargazi Mahallesi Beşiktaş Caddesi 4. Sokak yakınlarında'de yoğun yağış nedeniyle sel baskını yaşanıyor. Alt geçitler su altında kaldı.,Sel Baskını,Yüksek,İtfaiye,Şişli,Halaskargazi,41.068443,29.006666,
Kartal Esentepe Mahallesi Kadıköy Caddesi Karanfil Sokak yakınlarında metro istasyonunda duman yayılıyor. Acil müdahale gerekli.,Metro/Tünel Kazası,Yüksek,AFAD,Kartal,Esentepe,40.897973,29.185626,
"Arnavutköy Yeşilbayır Mahallesi Kadıköy Caddesi Çiçek Sokak yakınlarında'de yol çöktü, altyapı hasarı mevcut. Tehlike oluşturdu.",Altyapı Arızası,Orta,BEDAŞ,Arnavutköy,Yeşilbayır,41.167671,28.736204,
Sultangazi Sultançiftliği Mahallesi Kennedy Caddesi Yıldız Sokak yakınlarında'de yoğun kar yağışı nedeniyle yollar kapandı. Araçlar mahsur kaldı.,Kar Fırtınası,Kritik,Ulaşım Daire Başkanlığı,Sultangazi,Sultançiftliği,41.119481,28.879356,
Adalar Kınalıada Mahallesi Kennedy Caddesi 5. Sokak yakınlarında'de metro tünelinde yangın çıktı. Tahliye başlatıldı.,Metro/Tünel Kazası,Kritik,İtfaiye,Adalar,Kınalıada,40.862925,29.085586,
Bakırköy Yeşilköy Mahallesi Büyükdere Caddesi Papatya Sokak yakınlarında sokağında doğalgaz borusu patladı. Bölge tahliye edilmeli.,Gaz Kaçağı,Kritik,İtfaiye,Bakırköy,Yeşilköy,40.969938,28.887197,
Üsküdar Bulgurlu Mahallesi Barbaros Bulvarı Çiçek Sokak yakınlarında'de iş yerinde yangın başladı. Dumandan etkilenenler var.,Bina Yangını,Kritik,İtfaiye,Üsküdar,Bulgurlu,41.015125,29.010309,
Beylikdüzü Cumhuriyet Mahallesi Kartal Caddesi Gül Sokak yakınlarında'de ana su borusu patladı. Sokak su altında kaldı.,Altyapı Arızası,Orta,İSKİ,Beylikdüzü,Cumhuriyet,40.98038,28.623943,
Bahçelievler Yenibosna Mahallesi Cumhuriyet Caddesi 4. Sokak yakınlarında'de aşırı yağmur sonrası sokaklar göle döndü. Araçlar mahsur kaldı.,Sel Baskını,Orta,Yol Bakım ve Altyapı,Bahçelievler,Yenibosna,41.006019,28.880876,
Ümraniye Ihlamurkuyu Mahallesi Mecidiyeköy Yolu 2. Sokak yakınlarında'de otobüs kazası yaşandı. Ambulans ve itfaiye acil gerekli.,Trafik Kazası,Yüksek,Yol Bakım ve Altyapı,Ümraniye,Ihlamurkuyu,41.036678,29.129374,
Beyoğlu Karaköy Mahallesi Sahil Yolu Gül Sokak yakınlarında mahallesinde uzun süredir su kesintisi yaşanıyor. Vatandaşlar şikayetçi.,Altyapı Arızası,Orta,İGDAŞ,Beyoğlu,Karaköy,41.017123,28.991822,
Bakırköy Kartaltepe Mahallesi Millet Caddesi Orkide Sokak yakınlarında mahallesinde deprem sonrası gaz kaçağı şüphesi var. Acil müdahale lazım.,Deprem,Yüksek,İtfaiye,Bakırköy,Kartaltepe,40.976637,28.881934,
